index,name,description,brand,sku_id,price,in_stock,currency,color,breadcrumbs,avg_rating,total_reviews,overview,specifications
zh4lfmysegr4xigmvt9gtbh9,Satellite Orbit 2-Collection Tumbler and Toothbrush Holder with Dotted Accents in Polished Nickel,The contemporary motif from this elegant collection has timeless appeal. Wall Mounted Tumbler and Toothbrush Holder is constructed of the finest solid brass materials to provide a sturdy and rust free space. Toothbrush and Tumbler Holder is finished with our designer lifetime finishes to provide unparalleled performance for many years.,Allied Brass,,45.9,TRUE,USD,Nickel,"Bath, Bathroom Accessories, Bathroom Decor, Toothbrush Holders",,,"Made of the finest solid brass materials, Concealed screw mounting hardware, Available in a variety of designer finishes, Accent ring available with dotted, groovy, twist or smooth detail, Easy installation instructions provided, Limited lifetime warranty","[{'Shape': 'Oval'}, {'Style': 'Mid-Century,Modern'}, {'Included': 'Mounting Hardware'}, {'Material': 'Brass'}, {'Mount Type': 'Wall Mounted'}, {'Bath Accessory Type': 'Tumbler Holder/Toothbrush Holder'}, {'Number of Pieces': '1'}, {'Returnable': '90-Day'}, {'Color Family': 'Nickel'}, {'Color/Finish': 'Polished Nickel'}]"
mgs8yuilmefznso2kp0klnnb,Montero Collection Wall Mounted Tumbler Holder in Satin Brass,"This attractive wall mounted tumbler holder from the Montero Collection fits with any bathroom decor ranging from modern to traditional and all styles in between. Made from high quality metal and finished in a lifetime designer finish, this beautiful tumbler holder is extremely attractive yet highly functional. The tumbler holder is supplied with a glass tumbler and the solid brass accessory ring, plus the hardware necessary to install the tumbler holder in the bathroom. Whether your bath decor features traditional Old World styling or a cleaner, more contemporary design, the Montero Collection has bath accessories to meet your design and decorating needs. All of the Montero Collection products come with a limited lifetime warranty.",Allied Brass,,37.13,TRUE,USD,Brass,"Bath, Bathroom Accessories, Bathroom Decor, Toothbrush Holders",5,1,"Crafted of the finest solid brass materials, Concealed screw mounting hardware included, Wall mounted design is an ideal use of space, Available in a variety of lifetime designer finishes, Products are provided with a limited lifetime warranty, Designer finish will provide corrosion free performance","[{'Shape': 'Round'}, {'Style': 'Mid-Century,Modern,Transitional'}, {'Included': 'Mounting Hardware'}, {'Material': 'Brass'}, {'Mount Type': 'Wall Mounted'}, {'Bath Accessory Type': 'Tumbler Holder/Toothbrush Holder'}, {'Number of Pieces': '1'}, {'Returnable': '90-Day'}, {'Color Family': 'Brass'}, {'Color/Finish': 'Satin Brass'}]"
bou0qh15dtc8nms3ac2lekqu,Triangles Toothbrush Holder in Ivory,Our trend right triangles toothbrush holder. Ceramic silhouettes echoing the 3D prism effect in a matte neutral 2-tone glaze. Coordinates with most bathrooms.,Creative Bath,1005907113,13.11,TRUE,USD,Ivory,"Bath, Bathroom Accessories, Bathroom Decor, Toothbrush Holders",,,"Triangles toothbrush holder coordinates with other triangles shower curtain, bath rug and other bath accessories found elsewhere on this site, 4.75 in. x 2.75 in. x 4 in. H, Hold manual toothbrushes, razors and grooming essentials, Organize your bath in style, Coordinates with most bathrooms, Wipe clean, Imported","[{'Shape': 'Oval'}, {'Included': 'No Additional Items Included'}, {'Material': 'Ceramic'}, {'Mount Type': 'Freestanding'}, {'Bath Accessory Type': 'Tumbler Holder/Toothbrush Holder'}, {'Number of Pieces': '1'}, {'Returnable': '90-Day'}, {'Color Family': 'Ivory'}, {'Color/Finish': 'Ivory'}]"
dh4ttg4nvosweb3iybq45map,Traditional 3-Piece Bath Hardware Set in Oil Rubbed Bronze,"This all inclusive set of bathroom accessories features intricate detailing for a luxurious and astonishing style. Any bathroom will be given an added boost of opulence from these coordinated pieces. 1 dual towel bar, towel ring, and a toilet paper holder are included for all of your hanging storage needs. Available in multiple, durable finishes.",Kingston Brass,,140.38,TRUE,USD,Bronze,"Bath, Bathroom Accessories, Bathroom Hardware, Bathroom Hardware Sets",5,1,"High quality brass construction, 3 piece set includes: 24 in. dual towel bar, towel ring, toilet paper holder, Coordinates perfectly with restoration collection, Easy to install, Includes all mounting hardware, Finished in oil rubbed bronze","[{'Included': 'Mounting Hardware'}, {'Material': 'Brass'}, {'Bath Accessory Type': 'Bathroom Hardware Set'}, {'Number of Pieces': '3'}, {'Returnable': '90-Day'}, {'Pack Size': '1'}, {'Color Family': 'Bronze'}, {'Features': 'No Additional Features'}, {'Color/Finish': 'Oil Rubbed Bronze'}, {'Finish Family': 'Oil Rubbed Bronze'}]"
wrdy1n1jtig1n084btpwe19u,Amalfi 4-Piece Bath Hardware Set in Polished Chrome,"Enjoy a bathroom update with ease, all while saving money with the help of our new Palermo Series bathroom accessory set. This 3-piece set includes a 24 in. towel bar, toilet paper holder and single robe hook from 1 of Italia's most popular series. All 3 accessories feature a beautifully polished chrome finish and our easy install mounting system. You wont be disappointed with this sleek European inspired set of bathroom accessories. Additional pieces may be purchased individually.",Italia,,125.88,FALSE,USD,Chrome,"Bath, Bathroom Accessories, Bathroom Hardware, Bathroom Hardware Sets",,,"Enhance the look of your bathroom with the help of Italia collection's exquisitely modern and timeless bathroom hardware, Polished chrome 4-piece bathroom accessory set, Set includes a matching towel bar, towel ring, toilet paper holder, and single robe hook from the Amalfi series, Made of solid brass, Additional single piece accessory quantities from the Amalfi series are also available for purchased if needed, Mounting hardware included","[{'Included': 'Hand Towel Holder,Toilet Paper Holder,Towel Bar/Rack,Towel/Robe Hook'}, {'Material': 'Brass'}, {'Bath Accessory Type': 'Bathroom Hardware Set'}, {'Number of Pieces': '4'}, {'Returnable': '90-Day'}, {'Pack Size': '1'}, {'Color Family': 'Chrome'}, {'Features': 'Concealed Mounting Hardware'}, {'Color/Finish': 'Polished Chrome'}, {'Finish Family': 'Polished Chrome'}]"
u1tc9pt0nl16601bb60jg9xb,Sweden 4-Piece Bath Hardware Set in Brushed Nickel,"The BOANN Sweden Series 4-piece modern bathroom accessory set makes a great addition to any bathroom. Manufactured from quality materials, these items will last years and will bring an elegant and luxurious feel to your bathroom, while adding everyday convenience. Whether your bathroom decor has a contemporary or modern style, the Sweden Series features bath accessories that perfectly coordinate with either. The beautiful polished chrome finish of each piece is captivating and the overall design is exceptionally functional, bringing out the most of your bathroom space.",BOANN,1004959007,107.51,FALSE,USD,Nickel,"Bath, Bathroom Accessories, Bathroom Hardware, Bathroom Hardware Sets",,,"4-piece bathroom accessory set: includes robe/towel hook, 32 in. towel bar or 18 in. towel bar, towel ring and toilet paper holder, Stainless steel construction provides durability and reliability, Premium finish for tarnish and corrosion resistance, Easy installation: includes all mounting hardware and installation instructions, Full 1-year warranty, Nickel finish","[{'Style': 'Modern'}, {'Included': 'Hand Towel Holder,Toilet Paper Holder,Towel Bar/Rack,Towel/Robe Hook'}, {'Material': 'Stainless Steel'}, {'Bath Accessory Type': 'Bathroom Hardware Set'}, {'Number of Pieces': '4'}, {'Returnable': '90-Day'}, {'Pack Size': '4'}, {'Color Family': 'Nickel'}, {'Features': 'No Additional Features'}, {'Color/Finish': '18"" Brushed Nickel'}, {'Finish Family': 'Brushed Nickel'}]"
lt2hhiab43biyoeqpgr2cmyy,Prestige Regal 2-Roll Toilet Paper Holder with Glass Shelf in Polished Chrome,"Convenient and practical, the Prestige Regal 2-roll Toilet Paper Holder is a great way to have a back up roll always available. With a glass shelf on top to hold your phone or other on hand items, its design is as functional as it is practical and sure to be a welcomed addition to any bathroom. It comes with all the hardware needed for easy wall mount installation in that perfect spot. Made from all solid brass, this decorative accessory will provide a lifetime of practical use.",Allied Brass,1004855876,171.5,TRUE,USD,Chrome,"Bath, Bathroom Accessories, Bathroom Hardware, Toilet Paper Holders",,,"Crafted from the finest solid brass materials, Great for having an extra roll at the ready, Concealed screw mounting hardware installs easily, Glass shelf for added convenience, Contemporary design with traditional design elements, Provided with a limited lifetime warranty","[{'Included': 'Mounting Hardware'}, {'Material': 'Brass'}, {'Mount Type': 'Wall Mounted'}, {'Bath Accessory Type': 'Toilet Paper Holder'}, {'Returnable': '90-Day'}, {'Pack Size': '1'}, {'Toilet Paper Max Capacity': '2'}, {'Color Family': 'Chrome'}, {'Mount Post Shape': 'Round'}, {'Features': 'No Additional Features'}, {'Color/Finish': 'Polished Chrome'}, {'Installation Type': 'Screw-In'}, {'Finish Family': 'Polished Chrome'}, {'Product Length (in.)': '8.5'}, {'Product Height (in.)': '5.4 in'}, {'Product Depth (in.)': '7.4 in'}]"
dehwxyhpvy6xt548azeg7zh5,Lura Reserve Toilet Paper Holder in Polished Chrome,"Crafted in partnership with award-winning designer Clodagh, the Lura Reserve Paper Holder brings a clean, minimalist look to the bath for stylish sensibility. It carries the same signature design details found throughout the Lura collection: sleek and serene lines. The all-metal body is coated with a corrosion-resistant finish, assuring it maintains its striking brilliance for years to come.",Speakman,1005430606,89.67,TRUE,USD,Chrome,"Bath, Bathroom Accessories, Bathroom Hardware, Toilet Paper Holders",,,"Deep design works with most sizes of paper, Use as a stand-alone holder or to house reserve rolls, Easy to install, Durable metal construction, Mounting hardware included, Coordinates with a full collection of Lura faucets and accessories","[{'Included': 'Mounting Hardware'}, {'Material': 'Zinc'}, {'Mount Type': 'Wall Mounted'}, {'Bath Accessory Type': 'Toilet Paper Holder'}, {'Returnable': '90-Day'}, {'Pack Size': '1'}, {'Toilet Paper Max Capacity': '1'}, {'Color Family': 'Chrome'}, {'Mount Post Shape': 'Square'}, {'Features': 'No Additional Features'}, {'Color/Finish': 'Polished Chrome'}, {'Installation Type': 'Screw-In'}, {'Finish Family': 'Polished Chrome'}, {'Product Length (in.)': '2.75 in'}, {'Product Height (in.)': '7.5 in'}, {'Product Depth (in.)': '4.375 in'}, {'Product Width (in.)': '2.75 in'}]"
zdu72kd14ezmi1jjgvgufrix,Forte Traditional Wall-Mount Single Post Toilet Paper Holder in Polished Chrome,"This Forte Traditional toilet tissue holder reflects the smooth, classic styling of Forte faucets, adding a timeless look to your bath or powder room. It comes with a lifetime limited warranty. It comes in a number of Kohler finishes.",KOHLER,,45.04,FALSE,USD,Chrome,"Bath, Bathroom Accessories, Bathroom Hardware, Toilet Paper Holders",4.5,6,"Forte Traditional accessories have a timeless aesthetic well-suited for baths with classic decor, Coordinates with Forte faucets with traditional lever handles, Premium material construction for durability and reliability, Tools and installation template included with accessories, Offered in scratch- and corrosion-resistant Vibrant PVD finishes to complement the elegance of Forte bath and powder room faucets and accessories, <a href=""https://www.homedepot.com/collection/bath/forte-collection-in-polished-chrome"" target=""_blank"">View More from the Forte Collection</a>","[{'Style': 'Classic,Coastal,Cottage,Transitional'}, {'Included': 'Mounting Hardware'}, {'Material': 'Brass'}, {'Mount Type': 'Wall Mounted'}, {'Returnable': '90-Day'}, {'Color Family': 'Chrome'}, {'Color/Finish': 'Polished Chrome'}, {'Finish Family': 'Polished Chrome'}, {'Product Height (in.)': '2.5'}, {'Product Width (in.)': '9.5625 in'}]"
m8siqhcp6n0bu21hsf8ekvsw,Retro Dot Collection Upright Single Post Toilet Paper Holder in Venetian Bronze,Add a stylish touch to your bathroom with this elegant Upright Toilet Tissue Holder. Versatile design allows holder to be used as a primary or reserve roll toilet tissue holder. Made of solid brass and provided with a lifetime finish to insure products will never rust.,Allied Brass,,96.25,TRUE,USD,Bronze,"Bath, Bathroom Accessories, Bathroom Hardware, Toilet Paper Holders",,,"Crafted of the finest solid brass materials, Works great as a space to store an extra roll, Concealed screw mounting hardware installs easily, Available in a variety of lifetime designer finishes, Products are provided with a limited lifetime warranty, Space saving and versatile design","[{'Style': 'Bohemian,Classic,Farmhouse,Mediterranean,Rustic,Southwestern,Transitional'}, {'Included': 'Mounting Hardware'}, {'Material': 'Brass'}, {'Mount Type': 'Wall Mounted'}, {'Bath Accessory Type': 'Toilet Paper Holder'}, {'Returnable': '90-Day'}, {'Pack Size': '1'}, {'Toilet Paper Max Capacity': '1'}, {'Color Family': 'Bronze'}, {'Mount Post Shape': 'Round'}, {'Features': 'Concealed Mounting Hardware'}, {'Color/Finish': 'Venetian Bronze'}, {'Installation Type': 'Screw-In'}, {'Finish Family': 'Venetian Bronze'}, {'Product Length (in.)': '6'}, {'Product Height (in.)': '9 in'}, {'Product Depth (in.)': '6.5 in'}, {'Product Width (in.)': '4 in'}]"
odjs67zxxaghidh010wx6kyh,Tribecca Collection European Style Toilet Tissue Holder in Matte White,The contemporary motif from this elegant collection has timeless appeal. European Style Toilet Tissue Holder is constructed of solid brass and completed with a lifetime decorative finish. Euro style hook makes changing the roll quick and easy.,Allied Brass,1004440874,,FALSE,USD,White,"Bath, Bathroom Accessories, Bathroom Hardware, Toilet Paper Holders",,,"Euro Style Hook makes changing roll easy, Concealed screw mounting hardware installs easily, Made of the Finest Solid Brass Materials, Wall mounted design is an ideal use of space, Products are provided with a limited lifetime warranty, Easy installation instructions provided","[{'Style': 'Modern'}, {'Included': 'Mounting Hardware'}, {'Material': 'Brass'}, {'Mount Type': 'Wall Mounted'}, {'Bath Accessory Type': 'Toilet Paper Holder'}, {'Color Family': 'White'}, {'Color/Finish': 'Matte White'}, {'Product Height (in.)': '2'}, {'Product Width (in.)': '7'}]"
l7b04atryp729eg5gizvb0db,Somerset Double Post Toilet Paper Holder in Brushed Nickel,"Inspired by the beauty and bliss of ocean waves, the Somerset collection gives your bath a unique elegance. Sleek lines combine with understated detailing to make a bold statement that is both modern and timeless. Complete your look with the coordinating Somerset Collection (sold separately).",Franklin Brass,,14.23,TRUE,USD,Nickel,"Bath, Bathroom Accessories, Bathroom Hardware, Toilet Paper Holders",4,27,"Wall mounted design for bathroom convenience and organization, A smooth, soft finish, Brushed Nickel has very subtle warm undertones and a low-gloss surface for an alluring, neutral addition to your bath, Has durable, long-lasting finish to help prevent corrosion, tarnish or discolor, so you can enjoy a look you love for life, Zinc die-cast construction provides long-lasting durability, Conveniently holds one roll of tissue with a spring loaded roller for easy roll replacement, Coordinates perfectly with the rest of the Somerset bath collection (sold separately), Features set screw mounting system for added durability, Includes hardware for a stud mount and hanging template for a hassle free installation, Versatile design complements many different faucets (sold separately), Shop confidently knowing this product comes with a limited lifetime warranty","[{'Style': 'Classic,Coastal,Cottage,Farmhouse,Rustic,Southwestern,Transitional'}, {'Included': 'Mounting Hardware'}, {'Material': 'Zinc'}, {'Mount Type': 'Wall Mounted'}, {'Bath Accessory Type': 'Toilet Paper Holder'}, {'Returnable': '90-Day'}, {'Pack Size': '1'}, {'Toilet Paper Max Capacity': '1'}, {'Color Family': 'Nickel'}, {'Mount Post Shape': 'Round'}, {'Features': 'No Additional Features'}, {'Color/Finish': 'Brushed Nickel'}, {'Installation Type': 'Screw-In'}, {'Finish Family': 'Brushed Nickel'}, {'Product Length (in.)': '8.6 in'}, {'Product Height (in.)': '2 in'}, {'Product Depth (in.)': '3.7 in'}]"
oyufzijhea5k320zgtf4sxhn,Carolina Collection 2 Post Toilet Tissue Holder in Oil Rubbed Bronze,"Simplified detail and elegant form are the essential elements of this finely crafted two post toilet tissue holder. This beautiful toilet tissue holder is attractive, rugged and highly functional. The posts and roller are made of the highest quality solid brass materials and finished with a lifetime designer finish. The traditional styling of this accessory seamlessly blend with any decor.",Allied Brass,1004762710,182,TRUE,USD,Bronze,"Bath, Bathroom Accessories, Bathroom Hardware, Toilet Paper Holders",,,"Crafted of the finest solid brass materials, Concealed screw mounting hardware installs easily, Wall mounted design is an ideal use of space, Easy installation with included mounting hardware, Available in a wide variety of lifetime designer finishes, Provided with a limited lifetime warranty","[{'Included': 'Mounting Hardware'}, {'Material': 'Brass'}, {'Mount Type': 'Wall Mounted'}, {'Bath Accessory Type': 'Toilet Paper Holder'}, {'Returnable': '90-Day'}, {'Pack Size': '1'}, {'Toilet Paper Max Capacity': '1'}, {'Color Family': 'Bronze'}, {'Mount Post Shape': 'Round'}, {'Features': 'No Additional Features'}, {'Color/Finish': 'Oil Rubbed Bronze'}, {'Installation Type': 'Screw-In'}, {'Finish Family': 'Oil Rubbed Bronze'}, {'Product Length (in.)': '8'}, {'Product Height (in.)': '2 in'}, {'Product Depth (in.)': '3.3 in'}]"
